"year","assimilated_weight","ingested_weight","Weight","Length","JulianDay","feeding_hours","Metabolism","percentage_partic","metaConst","assimilation","gape_size"
2013,0.0386475928067199,0.046425106921218,0.186870349501887,3.5714382152327,142,15,0.00418372541871138,98.2039503598528,0.0115764629384775,0.8324718104,1.44257584586283e-05
2013,0.0387826383114992,0.0466123193253743,0.193763122979489,3.61085483053194,143,15,0.00425829238536352,98.2023786745504,0.0114998020348451,0.8320255004,1.47459389177537e-05
2013,0.0408480570029842,0.0491350302692802,0.200667992164716,3.64937257673403,144,16,0.00433604070109077,98.2353185212682,0.011383529922302,0.8313428684,1.50622128984279e-05
2013,0.0410328804822719,0.0492744344183678,0.207970395425095,3.68911563661981,145,16,0.00453502552431247,98.2380099078531,0.0116230832886074,0.8327417852,1.53920657748534e-05
2013,0.0412347111066417,0.0493547533338095,0.215269966416687,3.72788276358941,146,16,0.00483432594896368,98.2431022269071,0.0121059458111746,0.835475984,1.5717261011414e-05
2013,0.0413938783276562,0.0493870174139281,0.222550043448222,3.76564424818685,147,16,0.00514471643193531,98.2507890623214,0.0125981448458314,0.8381530308,1.6037288815018e-05
2013,0.0413792027614411,0.0493847945312424,0.229799875827367,3.8024026905264,148,16,0.00523661293608125,98.2612587114124,0.0125495812849418,0.8378935896,1.63519138595863e-05
2013,0.0414058984297859,0.0493662137447512,0.237028393792439,3.83825693336481,149,16,0.00541544831201308,98.2746733338017,0.0127105523994853,0.8387497296,1.66617440844612e-05
2013,0.0414680178832786,0.0493468107319425,0.244226483815993,3.87321075349426,150,16,0.005657766196762,98.2911779858474,0.0130147358755864,0.8403383576,1.69665925853016e-05
2013,0.041548165105024,0.0493432860896373,0.251388534153296,3.90728401004817,151,16,0.00591530539378449,98.3108668280863,0.0133451932635849,0.842022662,1.72664213058425e-05
2013,0.041502182227987,0.049373485704684,0.258515106095544,3.94052336901193,152,16,0.00589915731159504,98.3337595904421,0.0130609198144503,0.840576306,1.75614425892975e-05
2013,0.0416642886622644,0.0494593858560925,0.265635711078823,3.97310302507699,153,16,0.00617270545901454,98.3597652305453,0.0134191656320874,0.8423939752,1.78530337884451e-05
2013,0.0419733167282575,0.049614794001064,0.272734027719473,4.00498037548941,154,16,0.00662802209968522,98.3887031640526,0.0141558312263724,0.845983896,1.81406631133217e-05
2013,0.0422480850803898,0.0498538992467538,0.279803086645187,4.03615672016491,155,16,0.00689054327775746,98.4202493220349,0.0144655885461254,0.847437928,1.84241905126298e-05
2013,0.0425912538669901,0.0501947859419927,0.286874595005714,4.06679934537539,156,16,0.00712082114004084,98.4539078157542,0.0147003838935094,0.848519484,1.87050064984744e-05
2013,0.0431245325897458,0.0506512214317036,0.293968681551103,4.0970153003164,157,16,0.0075560161653166,98.4890350138018,0.0153448478221,0.851401632,1.89839921279747e-05
