"year","assimilated_weight","ingested_weight","Weight","Length","Energy","JulianDay","feeding_hours","Metabolism","percentage_partic","percentage_filters","percentage_hiding","metaConst","assimilation","gape_size"
1989,0.171497580308088,0.199884912300755,0.849250396741546,5.65046461689684,4.24625198370773,179,17,0.0172443836206135,99.202063712821,0.797936287179043,-1.88737914186277e-15,0.0169240409812379,0.857981617192025,3.61094349818986e-05
1989,0.180360891110788,0.210363602846648,0.880101026198334,5.7118941447721,4.40050513099167,180,17,0.0175156899116458,99.179196908164,0.820803091836033,-6.10622663543836e-15,0.0167723655825045,0.857376887779722,3.68988366663792e-05
1989,0.189394199691505,0.220838703612822,0.912670054198525,5.77513784132611,4.56335027099262,181,17,0.0180240003952511,99.1527323828858,0.847267617114181,-1.08801856413265e-14,0.0168314878946582,0.857613256159816,3.77204688645498e-05
1989,0.198456724762173,0.231215658411465,0.946944078836321,5.84001591637483,4.73472039418161,182,17,0.0186842958337207,99.1225862472208,0.877413752779248,0,0.0170091826369124,0.858318706118964,3.85727351181759e-05
1989,0.207417869196882,0.241409729028204,0.982898545632261,5.90633916404059,4.91449272816131,183,17,0.0194237703286796,99.0886875888701,0.911312411129852,4.10782519111308e-15,0.0172323525404692,0.859194325066531,3.94538271682628e-05
1989,0.216249148824342,0.251347662305167,1.020497341658,5.97391090624717,5.10248670828998,184,17,0.0202838641349922,99.0509799142865,0.949020085713461,-4.55191440096314e-15,0.0175336611259611,0.860358703323801,4.03617377383695e-05
1989,0.224943358517364,0.260966766448731,1.05969036884879,6.04252521655728,5.29845184424393,185,17,0.0213235476451798,99.0094179131824,0.99058208681756,7.99360577730113e-15,0.0179571107514362,0.861961703317329,4.12942246782543e-05
1989,0.233388236584757,0.270215051145502,1.10041429372854,6.11197079250383,5.50207146864272,186,17,0.0224670172558683,98.963968130039,1.03603186996098,1.11022302462516e-14,0.0184314165407059,0.863712941212462,4.22488521166012e-05
1989,0.242063625741143,0.279731632933709,1.14259849083049,6.1820427571923,5.71299245415244,187,17,0.0236283709058603,98.9116056852395,1.08839431476054,-1.64313007644523e-14,0.01888396733935,0.865342339736412,4.32231468509506e-05
1989,0.249662227904931,0.288105396615722,1.18628548319257,6.25273547344264,5.93142741596286,188,17,0.0246986974249041,98.8579207225059,1.14207927749407,-6.21724893790088e-15,0.0192310064183084,0.866565607023087,4.42173269986925e-05
1989,0.256700206777477,0.296006648564551,1.23127811588662,6.32366900750588,6.15639057943309,189,17,0.0255917951845575,98.8002617930621,1.19973820693786,3.5527136788005e-15,0.0194166515346062,0.867210949559118,4.52262556797383e-05
1989,0.263174687537088,0.303418944085458,1.27749970643345,6.39468304742607,6.38749853216723,190,17,0.0263174891701098,98.7386159655395,1.26138403446047,2.88657986402541e-15,0.0194609593688431,0.867364061035571,4.62477299597095e-05
