"param","delta","asymLength","assim","metaConst"
1,-5,23.7460457275583,0.432272832180605,0.0133949867762028
1,-4.5,24.7270718238138,0.473272832180605,0.0133949867762028
1,-4,25.6274878170974,0.514272832180605,0.0133949867762028
1,-3.5,26.4624941037743,0.555272832180605,0.0133949867762028
1,-3,27.2435127141924,0.596272832180605,0.0133949867762028
1,-2.5,27.9793939487075,0.637272832180605,0.0133949867762028
1,-2,28.6771706920951,0.678272832180605,0.0133949867762028
1,-1.5,29.3425525801912,0.719272832180605,0.0133949867762028
1,-1,29.9802623261495,0.760272832180605,0.0133949867762028
1,-0.5,30.594272934363,0.801272832180605,0.0133949867762028
1,0,31.1879783762046,0.842272832180605,0.0133949867762028
1,0.5,31.764320931617,0.883272832180605,0.0133949867762028
1,1,32.3258875514665,0.924272832180605,0.0133949867762028
1,1.5,32.8749844858543,0.965272832180605,0.0133949867762028
1,2,33.4136962867136,1.0062728321806,0.0133949867762028
1,2.5,33.9439333969598,1.0472728321806,0.0133949867762028
1,3,34.4674713427824,1.0882728321806,0.0133949867762028
1,3.5,34.9859798747499,1.1292728321806,0.0133949867762028
1,4,35.5010317397831,1.1702728321806,0.0133949867762028
1,4.5,36.0141835247276,1.2112728321806,0.0133949867762028
1,5,36.5967021476244,1.2522728321806,0.0133949867762028
