"param","delta","asymLength","assim","metaConst"
17,-5,40.5203070847669,0.842272832180605,0.00669749338810142
17,-4.5,38.972791420504,0.842272832180605,0.00736724272691156
17,-4,37.591808323609,0.842272832180605,0.0080369920657217
17,-3.5,36.3618351084613,0.842272832180605,0.00870674140453185
17,-3,35.3693148730584,0.842272832180605,0.00937649074334199
17,-2.5,34.5452286310988,0.842272832180605,0.0100462400821521
17,-2,33.7801144657765,0.842272832180605,0.0107159894209623
17,-1.5,33.0672963116535,0.842272832180605,0.0113857387597724
17,-1,32.4009422191238,0.842272832180605,0.0120554880985826
17,-0.5,31.775975423557,0.842272832180605,0.0127252374373927
17,0,31.1879783762046,0.842272832180605,0.0133949867762028
17,0.5,30.6331050150685,0.842272832180605,0.014064736115013
17,1,30.1080025318804,0.842272832180605,0.0147344854538231
17,1.5,29.6097428530846,0.842272832180605,0.0154042347926333
17,2,29.1357625239583,0.842272832180605,0.0160739841314434
17,2.5,28.6838123693004,0.842272832180605,0.0167437334702535
17,3,28.2519129314655,0.842272832180605,0.0174134828090637
17,3.5,27.838317144794,0.842272832180605,0.0180832321478738
17,4,27.4414783744504,0.842272832180605,0.018752981486684
17,4.5,27.0600231905306,0.842272832180605,0.0194227308254941
17,5,26.6927281743318,0.842272832180605,0.0200924801643043
