"year","assimilated_energy","ingested_energy","Weight","Length","JulianDay","feeding_hours"
1982,0.0464910161478043,0.0657023970432509,0.14,4.04438346512569,141,15
1982,0.0515629950574112,0.0728702587018248,0.146973652422171,4.10104003244616,142,15
1982,0.0573968789847494,0.0811148657218052,0.154708101680782,4.16167600865336,143,15
1982,0.0638942314994011,0.0902971050019801,0.163317633528495,4.2266786951398,144,15
1982,0.0709471957201794,0.100264550198105,0.172901768253405,4.29622362858131,145,15
1982,0.0784419888693565,0.110856400324133,0.183543847611432,4.3702925630586,146,15
1982,0.0862632330680901,0.121909600152756,0.195310145941835,4.44869959348952,147,15
1982,0.0942988180175224,0.133265712291581,0.208249630902049,4.5311235405552,148,15
1982,0.102444719531828,0.144777726868045,0.222394453604677,4.61714387701066,149,15
1982,0.103235144269148,0.145894777090373,0.237761161534451,4.70627707812554,150,14
1982,0.110646600632742,0.156368853353225,0.253246433174824,4.7920299918208,151,14
1982,0.117944034688676,0.166681790119666,0.269843423269735,4.87987941719804,152,14
1982,0.125074651798394,0.176758976538148,0.287535028473036,4.96937345895185,153,14
1982,0.13203111803791,0.186590048103321,0.306296226242795,5.06008183374333,154,14
1982,0.138781287046111,0.196129574683594,0.326100893948482,5.15162931758179,155,14
1982,0.145310805862612,0.205357272276161,0.346918087005399,5.2436740725835,156,14
1982,0.140780075633459,0.198954318306189,0.36871470788479,5.33591654916302,157,13
1982,0.146236455703865,0.206665426376293,0.389831719229809,5.42164141813246,158,13
1982,0.151458970062821,0.214046028918627,0.411767187585389,5.50724761025213,159,13
1982,0.167805323534953,0.237147150275513,0.434486033094812,5.59254513430442,160,14
1982,0.160685892898077,0.227085772891573,0.459656831625055,5.68340843926003,161,13
1982,0.165100290981786,0.233324323038138,0.483759715559767,5.76714567337755,162,13
1982,0.169218707675265,0.239144584052099,0.508524759207035,5.85013649396322,163,13
1982,0.173016764649708,0.24451210380117,0.533907565358325,5.93225553420567,164,13
1982,0.162891461455307,0.230202743718636,0.559860080055781,6.01338497286371,165,12
1982,0.165554903414241,0.23396679397151,0.584293799274077,6.0873484416302,166,12
1982,0.167831695013739,0.237184419182786,0.609127034786213,6.16029243004704,167,12
1982,0.169759006743341,0.239908149722076,0.634301789038274,6.23210391476301,168,12
1982,0.171415851556141,0.242249648892228,0.659765640049775,6.30269924575162,169,12
1982,0.158422385467756,0.223886921237643,0.685478017783196,6.37203681056998,170,11
1982,0.159354083731279,0.225203623136347,0.709241375603359,6.43448654747713,171,11
1982,0.160092376829521,0.226246999476428,0.733144488163051,6.49581442712151,172,11
1982,0.160651430173717,0.227037069211018,0.757158344687479,6.5560055971199,173,11
1982,0.14640431812156,0.206902654213623,0.781256059213537,6.61505229320556,174,10
1982,0.146486590201676,0.20701892340542,0.803216706931771,6.66774070602168,175,10
1982,0.146440365885512,0.206953597916212,0.825189695462022,6.71943938507912,176,10
1982,0.146278033700165,0.206724185557045,0.847155750344849,6.77014867200009,177,10
1982,0.146013397283411,0.206350194012735,0.869097455399873,6.81987320397646,178,10
1982,0.131096102842271,0.185268658623899,0.890999464992385,6.86862195370166,179,9
1982,0.130590643461036,0.184554329368338,0.910663880418726,6.91166681985973,180,9
1982,0.130039078689856,0.183774842693408,0.930252476937881,6.95389102395617,181,9
1982,0.129464633938625,0.182963021394325,0.94975833874136,6.99531085038014,182,9
1982,0.128895550457122,0.182158776790732,0.969178033832153,7.03594881219784,183,9
1982,0.128365982271484,0.181410376302267,0.988512366400721,7.07583475446228,184,9
1982,0.113703779044384,0.160689342911792,1.00776726374144,7.11500715362617,185,8
1982,0.11329013006076,0.160104762663596,1.0248228305981,7.14926144847882,186,8
1982,0.113963436137653,0.161056297537666,1.04181635010722,7.18298877024186,187,8
1982,0.0997218636739168,0.140929711240696,1.05891086552786,7.21652262672035,188,7
1982,0.0998325052018041,0.141086072925105,1.07386914507895,7.24555031702757,189,7
1982,0.100209240558985,0.141618485809759,1.08884402085922,7.27432253234398,190,7
1982,0.100885806266395,0.142574627284335,1.10387540694307,7.30292064824072,191,7
1982,0.101899819138189,0.144007658476808,1.11900827788303,7.33143241239677,192,7
1982,0.103192348955438,0.145834297562801,1.13429325075376,7.3599527086226,193,7
1982,0.104728102535926,0.148004667235621,1.14977210309707,7.38855654414539,194,7
1982,0.106406812995453,0.150377067545863,1.16548131847746,7.41730639624565,195,7
1982,0.0926477603263877,0.130932391642719,1.18144234042678,7.44623516785839,196,6
1982,0.0938200963646973,0.132589169537447,1.19533950447574,7.47119693274144,197,6
1982,0.0947338031262866,0.133880445345233,1.20941251893044,7.49626433565515,198,6
1982,0.0950131188660348,0.134275182117064,1.22362258939939,7.52136548434244,199,6
1982,0.0944641825251971,0.133499410012998,1.23787455722929,7.54633250214004,200,6
1982,0.0933575717059011,0.131935516825751,1.25204418460807,7.57095267952065,201,6
1982,0.0919881997793368,0.130000282333715,1.26604782036396,7.59508979688407,202,6
1982,0.0905900538818129,0.128024383665649,1.27984605033086,7.61868718006281,203,6
1982,0.0893050047400312,0.12620831647828,1.29343455841313,7.64174908071621,204,6
1982,0.0734939706388953,0.103863723344962,1.30683030912413,7.66431517196875,205,5
1982,0.0726380963341764,0.102654177973681,1.31785440471997,7.68276250875077,206,5
1982,0.0719229072003959,0.101643452798751,1.32875011917009,7.70088709520706,207,5
1982,0.071322678128492,0.100795192380571,1.33953855525015,7.71872900033017,208,5
1982,0.0713951175689836,0.100897565812583,1.35023695696943,7.73632099945653,209,5
1982,0.0709186733296873,0.100224241562588,1.36094622460477,7.75383149711849,210,5
