"year","assimilated_weight","ingested_weight","Weight","Length","Energy","JulianDay","location"
141,0.153041057304403,0.163341769034659,0.18,3.53112813245625,0.9,141,1
141,0.168682511080474,0.180039628574668,0.206741917191794,3.68249849630137,1.03370958595897,142,1
141,0.185105078454744,0.19714175881432,0.236235745157495,3.8343628322554,1.18117872578748,143,1
141,0.201483763119476,0.214445395702788,0.268473194600649,3.98591608469486,1.34236597300325,144,1
141,0.217735275268843,0.231802329213693,0.303507348990639,4.13685267337341,1.51753674495319,145,1
141,0.234216673088056,0.249020858775614,0.341357719853429,4.28683608767369,1.70678859926715,146,1
141,0.250434739472626,0.266016945058901,0.381918278275153,4.43519636102714,1.90959139137577,147,1
141,0.265780779339516,0.28263208855139,0.425137012892072,4.58164547210947,2.12568506446036,148,1
141,0.281403452318196,0.298788650360291,0.471020839021758,4.72617419231439,2.35510419510879,149,1
141,0.295997349138657,0.314357183725054,0.519335960461751,4.86811373744397,2.59667980230875,150,1
141,0.325922750780284,0.346920036588031,0.570050163234631,5.00752055083597,2.85025081617316,151,1
141,0.341957239030186,0.363005596234644,0.626420462356144,5.15267437928363,3.13210231178072,152,1
141,0.357451811122113,0.378236842913821,0.68504761446353,5.29427976525231,3.42523807231765,153,1
141,0.37141650204948,0.392589008086801,0.745677038321084,5.43209675125898,3.72838519160542,154,1
141,0.384908811224569,0.406105240950543,0.808271995721902,5.56641531468994,4.04135997860951,155,1
141,0.397790746677672,0.418785110908337,0.872576131218304,5.6970507757836,4.36288065609152,156,1
141,0.410417842236105,0.4306483087978,0.938354028457864,5.82391134126052,4.69177014228932,157,1
141,0.421286686896313,0.44170484188915,1.00525284320677,5.94672647593456,5.02626421603386,158,1
141,0.431482732354565,0.452047499934437,1.07340730690604,6.06612095212271,5.3670365345302,159,1
141,0.443209722815761,0.461717490702398,1.14266931900433,6.18215888095018,5.71334659502163,160,1
141,0.453725117039793,0.470648826110518,1.21203239062964,6.29355188031845,6.0601619531482,161,1
141,0.46384416726252,0.478913783020866,1.28142298107916,6.40062773116352,6.4071149053958,162,1
141,0.471760423847425,0.486543124822755,1.35046183119839,6.50322186172135,6.75230915599197,163,1
141,0.478790116449784,0.493671849947179,1.41980342890221,6.60264943498722,7.09901714451106,164,1
141,0.485638786363198,0.500359471551311,1.48957329852916,6.69933150899353,7.44786649264578,165,1
141,0.492223607051217,0.506625852837859,1.55953940663017,6.79316586571074,7.79769703315086,166,1
141,0.497323335228087,0.512495734323496,1.62952274316617,6.88413234010246,8.14761371583085,167,1
141,0.502499106558229,0.518055780313218,1.70015133346925,6.97321726389398,8.50075666734627,168,1
141,0.507403259223744,0.523308869909399,1.77113538986048,7.06018826055098,8.85567694930241,169,1
141,0.512519888557375,0.52827725153245,1.84240952504679,7.14510354622976,9.21204762523397,170,1
141,0.516722194212071,0.532960719697481,1.91359917008617,7.22766244467357,9.56799585043087,171,1
141,0.519932001350925,0.537409003092672,1.98509255098881,7.30844645035314,9.92546275494403,172,1
141,0.524376349992353,0.541670585209392,2.05738222998902,7.388093959494,10.2869111499451,173,1
141,0.529146851186706,0.545702347053383,2.1294674852369,7.46559695481841,10.6473374261845,174,1
141,0.531750526987258,0.549500100190165,2.20090034938519,7.54061507773867,11.004501746926,175,1
141,0.53507805946361,0.553156162132279,2.27306140073356,7.61469417030131,11.3653070036678,176,1
141,0.538308068013603,0.556648161748589,2.3453011120775,7.68722994548078,11.7265055603875,177,1
141,0.544041967242287,0.559985881336529,2.41755297416028,7.75823661069747,12.0877648708014,178,1
141,0.545959364101986,0.563083969745101,2.4876948491005,7.82576842871721,12.4384742455025,179,1
141,0.549422813674235,0.566088998035246,2.55855577613608,7.89265810119726,12.7927788806804,180,1
141,0.55354686403623,0.568948541353645,2.62877286492289,7.95767820959171,13.1438643246145,181,1
141,0.556090663336473,0.571642713213052,2.69759697163843,8.02024409317681,13.4879848581921,182,1
141,0.558138316080356,0.574233276174927,2.7662435920199,8.08154998651369,13.8312179600995,183,1
141,0.559876091161191,0.576741129647667,2.83506351885914,8.14195533928958,14.1753175942957,184,1
141,0.561974929761059,0.579179370962805,2.90425905355422,8.20166862490142,14.5212952677711,185,1
141,0.564073269300703,0.581537735321838,2.97343559605179,8.26038240571634,14.8671779802589,186,1
141,0.566054041651424,0.583818621279531,3.04251700828613,8.3180729001291,15.2125850414307,187,1
141,0.569195052033753,0.586028125729468,3.11153696968303,8.37480740751167,15.5576848484152,188,1
141,0.571369860439169,0.58813016786208,3.17932154344557,8.42967899443843,15.8966077172279,189,1
141,0.574101757551284,0.590159000352543,3.24667150178516,8.48339703764393,16.2333575089258,190,1
141,0.576719041630393,0.592097264709254,3.31293942548063,8.53549924860819,16.5646971274031,191,1
141,0.579087791658901,0.593949341410627,3.37811220064864,8.58603667114254,16.8905610032432,192,1
141,0.580623352600042,0.595724339204677,3.44233148888178,8.63517430769171,17.2116574444089,193,1
141,0.583112150727899,0.597451713879059,3.50641294769697,8.68357368620395,17.5320647384849,194,1
141,0.584372775629942,0.599099092545196,3.56923321631656,8.73042573985536,17.8461660815828,195,1
141,0.553295867482057,0.567277721397522,3.6320847845575,8.77672944947578,18.1604239227875,196,1
141,0.554219063789088,0.568593456179547,3.68866258420154,8.81793593335084,18.4433129210077,197,1
141,0.556456753013084,0.569888153708548,3.74533661713159,8.85877320559427,18.7266830856579,198,1
141,0.557787311763549,0.571148874413507,3.80045184177477,8.89807622741116,19.0022592088738,199,1
141,0.558820976381677,0.572339351946304,3.85509485536519,8.93665227188002,19.2754742768259,200,1
141,0.560771881758256,0.573501718027119,3.90955110664576,8.97471916654747,19.5477555332288,201,1
141,0.562280890348027,0.574603686796064,3.96258010443789,9.01143483410224,19.8129005221894,202,1
141,0.563048929768444,0.575659752623485,4.01466547026744,9.04716528554283,20.0733273513372,203,1
141,0.56355168312661,0.576695794882408,4.06675046124105,9.08257384105097,20.3337523062052,204,1
141,0.564952024519196,0.577720897552344,4.11916950959753,9.11789179924759,20.5958475479876,205,1
141,0.56603822344205,0.578703308774209,4.17068183264821,9.1522949736312,20.8534091632411,206,1
141,0.566531917449923,0.579653372533689,4.22165666045948,9.18604886101725,21.1082833022974,207,1
141,0.56766508159518,0.580591508819113,4.2728775417907,9.21968075736496,21.3643877089535,208,1
141,0.56937030246264,0.581494930794846,4.32343264586872,9.25260108009812,21.6171632293436,209,1
141,0.570955181509871,0.582342317305012,4.37244183412447,9.28425960453709,21.8622091706223,210,1
141,0.571214651810565,0.583138418277751,4.41996340462742,9.31472186667412,22.0998170231371,211,1
141,0.537741674774927,0.549412615175657,4.46789605515373,9.34521726939431,22.3394802757686,212,1
141,0.0763512065819982,0.0820342565700862,0.18,3.53112813245625,0.9,141,2
141,0.080479656055028,0.0863473155776637,0.19174498409425,3.59941660087239,0.958724920471252,142,2
141,0.0845321655175339,0.0908302510458086,0.204089463700433,3.66811715398884,1.02044731850217,143,2
141,0.0889840266696519,0.0955219830389792,0.217163435143629,3.73778871882028,1.08581717571814,144,2
141,0.0936614941336945,0.100395758303128,0.230910585518014,3.80796256276882,1.15455292759007,145,2
141,0.0986181295973113,0.105422026549203,0.245335446389202,3.87853177880914,1.22667723194601,146,2
141,0.10339568949265,0.110629555562481,0.260399260365795,3.94920438538568,1.30199630182898,147,2
141,0.108325797921887,0.116049109270399,0.276288319186014,4.02072519950299,1.38144159593007,148,2
141,0.1137036424917,0.121683340945573,0.293053609470431,4.09314647098714,1.46526804735215,149,2
141,0.119180684043972,0.127498223113429,0.310621003119415,4.16599770364813,1.55310501559707,150,2
141,0.130760153197466,0.140122890542135,0.329048724572822,4.23939312356482,1.64524362286411,151,2
141,0.137505613271987,0.147038645946783,0.349679489576752,4.31823929943553,1.74839744788376,152,2
141,0.144484408955333,0.154133373323174,0.371254202309949,4.39729763976489,1.85627101154974,153,2
