"year","assimilated_weight","ingested_weight","Weight","Length","Energy","JulianDay","feeding_hours","Metabolism","percentage_partic","percentage_filters","percentage_hiding","metaConst","assimilation","gape_size"
2003,0.123697782601143,0.147086760903983,0.18,3.53112813245625,0.9,141,16,0.00463579879811545,99.6597648267617,0.340235173238252,3.49720252756924e-15,0.0131406575247564,0.84098515625,1.41019550898423e-05
2003,0.136455269545164,0.162099794005088,0.20381239675971,3.66660742513743,1.01906198379855,142,16,0.00510139259001568,99.6411060517382,0.358893948261778,2.55351295663786e-15,0.0133006189386859,0.841797920735677,1.52048171096758e-05
2003,0.149701731180035,0.177626258758273,0.230083172148852,3.8038225613229,1.15041586074426,143,16,0.00561808854005097,99.6193253557704,0.380674644229611,3.44169137633799e-15,0.0134986221680783,0.842790543619792,1.6364128210215e-05
2003,0.163286276367764,0.193449055192534,0.258899900672941,3.94229983886579,1.29449950336471,144,16,0.00620158016886492,99.5941970499953,0.405802950004707,5.99520433297585e-15,0.0137600302699581,0.844078955078125,1.75772802852787e-05
2003,0.176947581343983,0.209334219696172,0.290316839904789,4.08152521471252,1.45158419952395,145,16,0.00682231507659254,99.5654922349271,0.434507765072922,4.44089209850063e-16,0.0140098157828788,0.845287414550781,1.88407133064586e-05
2003,0.190378350046472,0.225003591085126,0.324341893142498,4.2209244672355,1.62170946571249,146,16,0.0074446318940227,99.5329713321892,0.467028667810741,1.07136521876328e-14,0.014182957821672,0.84611249593099,2.0149651290489e-05
2003,0.203482609767965,0.240304409679928,0.360928636742327,4.35987191058401,1.80464318371163,147,16,0.00808277858230692,99.4964958811881,0.503504118811886,1.7430501486615e-14,0.0143225045115275,0.846770186360677,2.14980878842722e-05
2003,0.216109598530959,0.255003971349152,0.400008602921234,4.49783401367692,2.00004301460617,148,16,0.00875853505184364,99.4558751900075,0.544124809992448,5.32907051820075e-15,0.0144736652865197,0.847475423177083,2.28801686952534e-05
2003,0.228175625224727,0.2689341804327,0.441478815509165,4.63431345560561,2.20739407754583,149,16,0.00950217333654663,99.410978104478,0.589021895521974,6.77236045021345e-15,0.0146839012312543,0.848444124348958,2.42897577779484e-05
2003,0.239502454278504,0.281971633145311,0.485213505691802,4.76888248904916,2.42606752845901,150,16,0.0102763975200453,99.3617172238785,0.638282776121498,-1.24344978758018e-14,0.0148910045034344,0.849384924316406,2.5720867699479e-05
2003,0.263495703050694,0.309992419072846,0.531058716699801,4.90115386110635,2.655293583499,151,17,0.011097551746619,99.3225537027815,0.677446297218448,3.88578058618805e-15,0.0150295303544225,0.850006925455729,2.7167460630778e-05
2003,0.274190812310513,0.322386749893291,0.581538346369831,5.03788887411956,2.90769173184916,152,17,0.0118971126646346,99.264133264134,0.735866735865963,5.44009282066327e-15,0.0151408743742847,0.850502734375,2.87044705410009e-05
2003,0.28392901628914,0.333615228477059,0.633997085280313,5.17148081821799,3.16998542640156,153,17,0.0127298562876968,99.201271158643,0.798728841356998,-7.88258347483861e-15,0.0152686669529144,0.851067313639323,3.02469932762053e-05
2003,0.292789558738221,0.343692940351476,0.688236915570204,5.30173676953181,3.44118457785102,154,17,0.013635082723394,99.1342437569361,0.86575624306387,-1.38777878078145e-14,0.0154574715283985,0.851892850748698,3.17898659062802e-05
2003,0.300753765733689,0.352663682986072,0.744067807974179,5.42854168342855,3.72033903987089,155,17,0.0145840002458031,99.0632483361102,0.936751663889745,6.43929354282591e-15,0.0156690743854147,0.852806172688802,3.33287271040465e-05
2003,0.307791128497303,0.360593217695314,0.801301756602362,5.55182511007115,4.00650878301181,156,17,0.015523613716863,98.9885063659653,1.01149363403468,8.21565038222616e-15,0.0158479866174979,0.853568823242188,3.48597226182509e-05
2003,0.313991514325494,0.367564051041515,0.859755252586567,5.67155388395962,4.29877626293283,157,17,0.0164629406903127,98.910419846294,1.08958015370604,-3.99680288865056e-15,0.0160094626879105,0.854249792480469,3.63794809641271e-05
2003,0.319461542259407,0.373674586008488,0.919260956676522,5.7877441990967,4.59630478338261,158,17,0.0174153090251378,98.8294923575115,1.17050764248851,3.77475828372553e-15,0.0161697775894933,0.854919104003906,3.78853261319723e-05
2003,0.324320891856997,0.379035807202428,0.979670187430364,5.90045377463685,4.89835093715182,159,17,0.0183983330294811,98.7463377404997,1.2536622595003,5.99520433297585e-15,0.016345973597601,0.855647106933594,3.93752385734845e-05
2003,0.328612401496063,0.383767728701266,1.04085467591214,6.00977484961077,5.20427337956069,160,17,0.0193691648306399,98.6616850855833,1.33831491441667,3.77475828372553e-15,0.0165005631102747,0.856279402669271,4.08478099859508e-05
2003,0.332404696621256,0.387998284721287,1.10270328975534,6.1158206228014,5.51351644877672,161,17,0.0202929904349793,98.5763933060099,1.42360669399012,-9.76996261670138e-15,0.0166083871317821,0.856716923014323,4.23020925989308e-05
2003,0.335857937878568,0.391861858556728,1.16512558364207,6.21872606308775,5.82562791821037,162,17,0.021199951223481,98.4914526678261,1.50854733217396,-9.32587340685131e-15,0.0166990190875475,0.857082491048177,4.37376279828868e-05
2003,0.339140696481509,0.395500640057636,1.2280571150847,6.31865152133247,6.1402855754235,163,17,0.0221267030227759,98.407989965719,1.59201003428096,-3.77475828372553e-15,0.0168024362052004,0.857497212727865,4.51545150218626e-05
2003,0.34243129135869,0.399065035533908,1.29145982343574,6.41577838655133,6.45729911717869,164,17,0.0231175199831811,98.3272718885684,1.67272811143161,-4.66293670342566e-15,0.0169498362438964,0.858083923339844,4.65533653622245e-05
2003,0.345944011821091,0.402715927860571,1.35532245551482,6.51030589205001,6.77661227757412,165,17,0.024246963537709,98.250709749027,1.74929025097302,-1.55431223447522e-15,0.0171895805085549,0.859027388509115,4.79352683444206e-05
2003,0.349784045911527,0.406628103415992,1.41966170193139,6.60244970480803,7.09830850965693,166,17,0.0254878851788369,98.1798615541323,1.82013844586773,-1.33226762955019e-15,0.0174939190371455,0.860206274414062,4.93017774149995e-05
2003,0.353971848377458,0.410994529863035,1.48452071846261,6.69243732460567,7.42260359231306,167,17,0.0267097894750509,98.1164319080505,1.88356809194947,-1.02140518265514e-14,0.0177696671264792,0.8612568359375,5.06548459335289e-05
2003,0.358291776772583,0.415741987311515,1.54997284834823,6.78051127019211,7.74986424174117,168,17,0.0277558750500807,98.0576813255564,1.94231867444356,9.32587340685131e-15,0.0179173560399236,0.861812825520833,5.19968767200534e-05
2003,0.362423034075398,0.420683899217336,1.61607966350757,6.86687291923084,8.08039831753784,169,17,0.0284495002180534,97.9997670089129,2.00023299108707,1.59872115546023e-14,0.0178365420294528,0.861509163411458,5.3329853909062e-05
2003,0.366441992005815,0.425856471074289,1.68287390109418,6.95166687835178,8.4143695054709,170,17,0.0288234270713978,97.9428552747666,2.0571447252334,3.99680288865056e-15,0.0175659744872281,0.860482385253906,5.46550478469313e-05
