"","date","light"
"1",1984-01-01,54.7449839943042
"2",1984-01-02,55.3988098113658
"3",1984-01-03,56.111120982795
"4",1984-01-04,56.8820991865784
"5",1984-01-05,57.7119270656208
"6",1984-01-06,58.6007854142177
"7",1984-01-07,59.5488501166446
"8",1984-01-08,53.7208231315972
"9",1984-01-09,54.7466398480473
"10",1984-01-10,55.8294214029247
"11",1984-01-11,56.9692248258111
"12",1984-01-12,58.1660854800084
"13",1984-01-13,59.4200154121887
"14",1984-01-14,60.7310033660935
"15",1984-01-15,62.099016991591
"16",1984-01-16,63.5240073608143
"17",1984-01-17,65.0059153373876
"18",1984-01-18,66.5446788371132
"19",1984-01-19,68.140239737891
"20",1984-01-20,69.7925492081822
"21",1984-01-21,71.5015704868693
"22",1984-01-22,73.267278559958
"23",1984-01-23,75.0896566263274
"24",1984-01-24,76.9686896347706
"25",1984-01-25,78.9043554556792
"26",1984-01-26,80.896614407575
"27",1984-01-27,82.9453979024465
"28",1984-01-28,85.0505969301224
"29",1984-01-29,77.916283804847
"30",1984-01-30,79.9116346939584
"31",1984-01-31,81.9570111133533
"32",1984-02-01,84.0520735332012
"33",1984-02-02,86.1964080693621
"34",1984-02-03,88.3895228764089
"35",1984-02-04,90.6308459307448
"36",1984-02-05,92.9197241045677
"37",1984-02-06,95.2554234026823
"38",1984-02-07,97.6371302185429
"39",1984-02-08,99.5144876967767
"40",1984-02-09,102.135543779884
"41",1984-02-10,104.801504839248
"42",1984-02-11,107.51119964695
"43",1984-02-12,110.263393663286
"44",1984-02-13,102.670568530165
"45",1984-02-14,105.390276725167
"46",1984-02-15,108.146295985221
"47",1984-02-16,110.937471519148
"48",1984-02-17,113.762785118962
"49",1984-02-18,116.621369033243
"50",1984-02-19,119.512483812477
"51",1984-02-20,122.435473662231
"52",1984-02-21,125.389714537278
"53",1984-02-22,128.374566027451
"54",1984-02-23,131.38933287612
"55",1984-02-24,134.433237940802
"56",1984-02-25,137.50540597162
"57",1984-02-26,140.604856430895
"58",1984-02-27,130.972452506279
"59",1984-02-28,133.863369696673
"60",1984-02-29,136.776006257784
"61",1984-03-01,139.70911350817
"62",1984-03-02,142.661377100216
"63",1984-03-03,145.631427068309
"64",1984-03-04,148.617847654929
"65",1984-03-05,151.619186636473
"66",1984-03-06,154.119478781886
"67",1984-03-07,157.289144194476
"68",1984-03-08,160.469412771038
"69",1984-03-09,163.658717919678
"70",1984-03-10,166.855492897944
"71",1984-03-11,156.680025018042
"72",1984-03-12,159.776792145303
"73",1984-03-13,162.8762933404
"74",1984-03-14,165.977395519369
"75",1984-03-15,169.07918092056
"76",1984-03-16,172.180918394147
"77",1984-03-17,175.282000582091
"78",1984-03-18,178.381873853468
"79",1984-03-19,181.479978440044
"80",1984-03-20,184.575705708294
"81",1984-03-21,187.668372677477
"82",1984-03-22,190.757210730578
"83",1984-03-23,193.841364637736
"84",1984-03-24,196.91989833556
"85",1984-03-25,184.866473563678
"86",1984-03-26,187.718362039912
"87",1984-03-27,190.562078291557
"88",1984-03-28,193.396553533954
"89",1984-03-29,196.220696226948
"90",1984-03-30,199.033401126558
"91",1984-03-31,201.833557227144
"92",1984-04-01,204.620054603898
"93",1984-04-02,206.954164202898
"94",1984-04-03,209.826241819147
"95",1984-04-04,212.68071959491
"96",1984-04-05,215.51651027527
"97",1984-04-06,218.332548741375
"98",1984-04-07,205.977020484597
"99",1984-04-08,208.67755529845
"100",1984-04-09,211.35613451002
"101",1984-04-10,214.012011328868
"102",1984-04-11,216.644583587511
"103",1984-04-12,219.253377776188
"104",1984-04-13,221.838010881988
"105",1984-04-14,224.398146417151
"106",1984-04-15,226.933455938235
"107",1984-04-16,229.443590927746
"108",1984-04-17,231.928165489478
"109",1984-04-18,234.386748139939
"110",1984-04-19,236.818860322994
"111",1984-04-20,239.223979401616
"112",1984-04-21,225.717808965662
"113",1984-04-22,227.928469121417
"114",1984-04-23,230.112111194215
"115",1984-04-24,232.268137969595
"116",1984-04-25,234.395942847782
"117",1984-04-26,236.494915461752
"118",1984-04-27,238.564446585973
"119",1984-04-28,240.60393233591
"120",1984-04-29,242.612777695938
"121",1984-04-30,244.590399433186
"122",1984-05-01,246.198482015802
"123",1984-05-02,248.191181131056
"124",1984-05-03,250.149762441404
"125",1984-05-04,252.073687944198
"126",1984-05-05,253.962439415767
"127",1984-05-06,240.310879623518
"128",1984-05-07,242.096294924993
"129",1984-05-08,243.845911348404
"130",1984-05-09,245.559323278691
"131",1984-05-10,247.236166972868
"132",1984-05-11,248.87612194014
"133",1984-05-12,250.478906806528
"134",1984-05-13,252.044271473009
"135",1984-05-14,253.571987941452
"136",1984-05-15,255.061841674108
"137",1984-05-16,256.513624543282
"138",1984-05-17,257.927129741818
"139",1984-05-18,259.302148583518
"140",1984-05-19,260.638468899269
"141",1984-05-20,261.935874660487
"142",1984-05-21,263.194146472785
"143",1984-05-22,264.413062634047
"144",1984-05-23,250.179606593201
"145",1984-05-24,251.261229818767
"146",1984-05-25,252.304892877383
"147",1984-05-26,253.310388726773
"148",1984-05-27,254.277515102338
"149",1984-05-28,255.206075643191
"150",1984-05-29,256.095880865384
"151",1984-05-30,256.946748982053
"152",1984-05-31,257.758506577191
"153",1984-06-01,258.530989143948
"154",1984-06-02,259.264041500691
"155",1984-06-03,259.957518098954
"156",1984-06-04,260.611283237539
"157",1984-06-05,261.225211196481
"158",1984-06-06,261.799186303795
"159",1984-06-07,262.333102946872
"160",1984-06-08,262.826865539315
"161",1984-06-09,263.280388452897
"162",1984-06-10,263.693595923228
"163",1984-06-11,264.06642193675
"164",1984-06-12,264.398810105674
"165",1984-06-13,264.690713536681
"166",1984-06-14,264.942094698348
"167",1984-06-15,264.839204015352
"168",1984-06-16,265.009537498882
"169",1984-06-17,265.139276622042
"170",1984-06-18,265.23165882744
"171",1984-06-19,265.28349651501
"172",1984-06-20,265.29310206359
"173",1984-06-21,265.260501033651
"174",1984-06-22,265.185728181812
"175",1984-06-23,265.068827440512
"176",1984-06-24,264.91179552645
"177",1984-06-25,264.717464426748
"178",1984-06-26,264.482840616731
"179",1984-06-27,264.521812558677
"180",1984-06-28,264.206944543142
"181",1984-06-29,263.852055198539
"182",1984-06-30,263.457247959928
"183",1984-07-01,263.02263528311
"184",1984-07-02,262.548338732665
"185",1984-07-03,262.034489067514
"186",1984-07-04,261.481226319037
"187",1984-07-05,260.888699856031
"188",1984-07-06,260.257068429986
"189",1984-07-07,259.586500193292
"190",1984-07-08,258.877172682057
"191",1984-07-09,258.129272754225
"192",1984-07-10,257.342996472689
"193",1984-07-11,256.518548922111
"194",1984-07-12,255.656143947248
"195",1984-07-13,254.756003799891
"196",1984-07-14,253.818358681121
"197",1984-07-15,252.843446165781
"198",1984-07-16,251.831510497063
"199",1984-07-17,250.782801741368
"200",1984-07-18,249.69757479774
"201",1984-07-19,248.576088262758
"202",1984-07-20,247.418603161989
"203",1984-07-21,261.410855444331
"204",1984-07-22,260.115891844998
"205",1984-07-23,258.783803570931
"206",1984-07-24,257.414859053178
"207",1984-07-25,256.009322240606
"208",1984-07-26,254.567452055503
"209",1984-07-27,253.089502660292
"210",1984-07-28,251.575724866677
"211",1984-07-29,250.026369030796
"212",1984-07-30,248.441689714374
"213",1984-07-31,246.821952195429
"214",1984-08-01,245.167440519868
"215",1984-08-02,243.478466167911
"216",1984-08-03,241.755375660626
"217",1984-08-04,239.998554905182
"218",1984-08-05,238.208428451728
"219",1984-08-06,236.385453745835
"220",1984-08-07,249.817209471891
"221",1984-08-08,247.894351254777
"222",1984-08-09,245.939463368971
"223",1984-08-10,243.953089731386
"224",1984-08-11,242.33701521734
"225",1984-08-12,240.368868821274
"226",1984-08-13,238.372050973118
"227",1984-08-14,236.347139074793
"228",1984-08-15,234.29471964396
"229",1984-08-16,232.215385662367
"230",1984-08-17,230.109733382002
"231",1984-08-18,227.978358536115
"232",1984-08-19,225.821851917273
"233",1984-08-20,223.64079431381
"234",1984-08-21,221.435750846173
"235",1984-08-22,234.658429322804
"236",1984-08-23,232.265576394283
"237",1984-08-24,229.848826911028
"238",1984-08-25,227.408646925248
"239",1984-08-26,224.945456225483
"240",1984-08-27,222.459628116922
"241",1984-08-28,219.951494578357
"242",1984-08-29,217.421358934819
"243",1984-08-30,214.869517922569
"244",1984-08-31,212.296293699771
"245",1984-09-01,209.702073281664
"246",1984-09-02,207.087347755358
"247",1984-09-03,204.452737963227
"248",1984-09-04,201.798992459367
"249",1984-09-05,213.960983632956
"250",1984-09-06,211.197994121998
"251",1984-09-07,208.418030793251
"252",1984-09-08,205.622075062727
"253",1984-09-09,203.299459923145
"254",1984-09-10,200.588049557101
"255",1984-09-11,197.864230303679
"256",1984-09-12,195.129005681763
"257",1984-09-13,192.383381609014
"258",1984-09-14,189.628360835148
"259",1984-09-15,186.86493642088
"260",1984-09-16,184.094084219996
"261",1984-09-17,181.316754380589
"262",1984-09-18,178.533861979208
"263",1984-09-19,190.169935846626
"264",1984-09-20,187.170905984537
"265",1984-09-21,184.168497552543
"266",1984-09-22,181.163438023346
"267",1984-09-23,178.156373347402
"268",1984-09-24,175.147871085861
"269",1984-09-25,172.138433727777
"270",1984-09-26,169.128525607422
"271",1984-09-27,166.118615747677
"272",1984-09-28,163.109235568721
"273",1984-09-29,160.101043653549
"274",1984-09-30,157.094880138823
"275",1984-10-01,154.091786072356
"276",1984-10-02,151.092970658809
"277",1984-10-03,161.063670085013
"278",1984-10-04,157.972055283331
"279",1984-10-05,154.889317885962
"280",1984-10-06,151.817674265426
"281",1984-10-07,149.41680356154
"282",1984-10-08,146.507423442475
"283",1984-10-09,143.612304134535
"284",1984-10-10,140.73277396218
"285",1984-10-11,137.870129482043
"286",1984-10-12,135.025626969434
"287",1984-10-13,132.200473418362
"288",1984-10-14,129.395817300294
"289",1984-10-15,126.612739465964
"290",1984-10-16,135.954145227235
"291",1984-10-17,132.971911687958
"292",1984-10-18,130.016257968038
"293",1984-10-19,127.087995975627
"294",1984-10-20,124.18784718343
"295",1984-10-21,121.316456513082
"296",1984-10-22,118.474416026709
"297",1984-10-23,115.662299228202
"298",1984-10-24,112.880704772852
"299",1984-10-25,110.130304958117
"300",1984-10-26,107.41188972766
"301",1984-10-27,104.726392674998
"302",1984-10-28,102.074885593831
"303",1984-10-29,99.4585377154756
"304",1984-10-30,106.955906456474
"305",1984-10-31,104.310314920001
"306",1984-11-01,101.705825291225
"307",1984-11-02,99.1435844599466
"308",1984-11-03,97.2803082261955
"309",1984-11-04,94.9493975544065
"310",1984-11-05,92.6619817546762
"311",1984-11-06,90.4188848169924
"312",1984-11-07,88.2208585206442
"313",1984-11-08,86.0685807560056
"314",1984-11-09,83.9626547461181
"315",1984-11-10,81.9036093096847
"316",1984-11-11,79.8919002970927
"317",1984-11-12,77.9279133098244
"318",1984-11-13,76.0119677783013
"319",1984-11-14,74.1443224212677
"320",1984-11-15,80.9907384498756
"321",1984-11-16,79.0240145151831
"322",1984-11-17,77.1115989217972
"323",1984-11-18,75.2535875308435
"324",1984-11-19,73.4500564797994
"325",1984-11-20,71.7010725559615
"326",1984-11-21,70.0067023421581
"327",1984-11-22,68.3670194148752
"328",1984-11-23,66.7821089710213
"329",1984-11-24,65.2520694714641
"330",1984-11-25,63.7770112160974
"331",1984-11-26,62.3570521744778
"332",1984-11-27,60.9923118185733
"333",1984-11-28,59.6829040385231
"334",1984-11-29,58.4289303595734
"335",1984-11-30,57.230474545097
"336",1984-12-01,56.0875992768491
"337",1984-12-02,55.0003450659325
"338",1984-12-03,53.9687310562152
"339",1984-12-04,52.9927571070307
"340",1984-12-05,52.0724065365119
"341",1984-12-06,57.9260354722252
"342",1984-12-07,57.0864904196412
"343",1984-12-08,56.3048364138877
"344",1984-12-09,55.5809648741025
"345",1984-12-10,54.9147670060738
"346",1984-12-11,54.3061364070232
"347",1984-12-12,53.7549714252697
"348",1984-12-13,53.261177271778
"349",1984-12-14,52.8246678857773
"350",1984-12-15,52.4453675609501
"351",1984-12-16,52.9471088275424
"352",1984-12-17,52.7056792613371
"353",1984-12-18,52.5163661319928
"354",1984-12-19,52.3791328324633
"355",1984-12-20,52.2939608043697
"356",1984-12-21,52.2608499887258
"357",1984-12-22,52.279819114605
"358",1984-12-23,52.3509058311339
"359",1984-12-24,52.4741666849215
"360",1984-12-25,52.6496769415964
"361",1984-12-26,52.8775302467137
"362",1984-12-27,52.347147350656
"363",1984-12-28,52.7110742014908
"364",1984-12-29,53.1326727625705
"365",1984-12-30,53.6120867795887
"366",1984-12-31,54.1494653733846
"367",1985-01-01,54.7466955636486
"368",1985-01-02,55.4025533656729
"369",1985-01-03,56.1172184239219
"370",1985-01-04,56.8908739276789
"371",1985-01-05,57.7237040191994
"372",1985-01-06,58.6158909389716
"373",1985-01-07,59.5676119191565
"374",1985-01-08,53.7426967025388
"375",1985-01-09,54.7726533069926
"376",1985-01-10,55.8598889608816
"377",1985-01-11,57.00446062419
"378",1985-01-12,58.2064032910484
"379",1985-01-13,59.4657283564216
"380",1985-01-14,60.7824236941169
"381",1985-01-15,62.1564559776938
"382",1985-01-16,63.5877753395353
"383",1985-01-17,65.0763218839274
"384",1985-01-18,66.6220330577263
"385",1985-01-19,68.224850607259
"386",1985-01-20,69.8847258746252
"387",1985-01-21,71.601622465445
"388",1985-01-22,73.3755157459849
"389",1985-01-23,75.2063890830301
"390",1985-01-24,77.0942271333582
"391",1985-01-25,79.0390067697719
"392",1985-01-26,81.0406863835005
"393",1985-01-27,83.0991943410576
"394",1985-01-28,85.2144173241894
"395",1985-01-29,78.0729823716771
"396",1985-01-30,80.0778651059977
"397",1985-01-31,82.133022473728
"398",1985-02-01,84.2381060536732
"399",1985-02-02,86.3926918874009
"400",1985-02-03,88.5962769470772
"401",1985-02-04,90.8482770090662
"402",1985-02-05,93.1480258289204
"403",1985-02-06,95.4947754853342
"404",1985-02-07,97.8876977457658
"405",1985-02-08,99.7923692330761
"406",1985-02-09,102.425533571389
"407",1985-02-10,105.103723433613
"408",1985-02-11,107.825750632089
"409",1985-02-12,110.590363518006
"410",1985-02-13,102.996458217111
"411",1985-02-14,105.728121976197
"412",1985-02-15,108.496146945467
"413",1985-02-16,111.299383884541
"414",1985-02-17,114.136825592468
"415",1985-02-18,117.007615891829
"416",1985-02-19,119.911023309768
"417",1985-02-20,122.846394025106
"418",1985-02-21,125.813099245777
"419",1985-02-22,128.810487545527
"420",1985-02-23,131.837847452833
"421",1985-02-24,134.894381693695
"422",1985-02-25,137.979192215667
"423",1985-02-26,141.091274092039
"424",1985-02-27,131.430330617583
"425",1985-02-28,134.332739691653
"426",1985-03-01,137.256789217355
"427",1985-03-02,140.201208747344
"428",1985-03-03,143.164663114761
"429",1985-03-04,146.145762607655
"430",1985-03-05,149.143072860764
"431",1985-03-06,152.155124203503
"432",1985-03-07,154.691768246564
"433",1985-03-08,157.872171259624
"434",1985-03-09,161.062946738298
"435",1985-03-10,164.262514725783
"436",1985-03-11,167.469296224965
"437",1985-03-12,157.282135522472
"438",1985-03-13,160.388022960127
"439",1985-03-14,163.496418132446
"440",1985-03-15,166.606221490362
"441",1985-03-16,169.716549427851
"442",1985-03-17,172.826695933643
"443",1985-03-18,175.93606543856
"444",1985-03-19,179.044102880845
"445",1985-03-20,182.150236376483
"446",1985-03-21,185.253837760603
"447",1985-03-22,188.35420016147
"448",1985-03-23,191.450529163622
"449",1985-03-24,194.541943611097
"450",1985-03-25,197.627482573425
"451",1985-03-26,185.53128680586
"452",1985-03-27,188.389163429367
"453",1985-03-28,191.238572350389
"454",1985-03-29,194.078429662668
"455",1985-03-30,196.907630733654
"456",1985-03-31,199.725059114497
"457",1985-04-01,202.529594317779
"458",1985-04-02,205.320118489431
"459",1985-04-03,207.687563907848
"460",1985-04-04,210.563094173122
"461",1985-04-05,213.420644510235
"462",1985-04-06,216.259124238719
"463",1985-04-07,219.077465752157
"464",1985-04-08,206.704204069111
"465",1985-04-09,209.406277824566
"466",1985-04-10,212.086057933059
"467",1985-04-11,214.742830907377
"468",1985-04-12,217.376028186709
"469",1985-04-13,219.985202093601
"470",1985-04-14,222.569983990687
"471",1985-04-15,225.130040422627
"472",1985-04-16,227.66503682816
"473",1985-04-17,230.174612259497
"474",1985-04-18,232.658364732103
"475",1985-04-19,235.115845141556
"476",1985-04-20,237.546557311883
"477",1985-04-21,239.949961998409
"478",1985-04-22,226.398986514015
"479",1985-04-23,228.607415861481
"480",1985-04-24,230.788494343348
"481",1985-04-25,232.941616236524
"482",1985-04-26,235.066168177438
"483",1985-04-27,237.161534635129
"484",1985-04-28,239.227102657844
"485",1985-04-29,241.26226590773
"486",1985-04-30,243.266428030046
"487",1985-05-01,245.239005419313
"488",1985-05-02,246.868296888116
"489",1985-05-03,248.855034800906
"490",1985-05-04,250.807283244268
"491",1985-05-05,252.724506449527
"492",1985-05-06,254.60618887842
"493",1985-05-07,240.936140430665
"494",1985-05-08,242.713956453888
"495",1985-05-09,244.455629698286
"496",1985-05-10,246.160765547434
"497",1985-05-11,247.829012881184
"498",1985-05-12,249.460063388742
"499",1985-05-13,251.053645761717
"500",1985-05-14,252.609516995825
"501",1985-05-15,254.127453112602
"502",1985-05-16,255.607240907825
"503",1985-05-17,257.048671522248
"504",1985-05-18,258.451536017631
"505",1985-05-19,259.815622779145
"506",1985-05-20,261.14071640224
"507",1985-05-21,262.426597685594
"508",1985-05-22,263.673044383095
"509",1985-05-23,264.879832427531
"510",1985-05-24,250.610849635445
"511",1985-05-25,251.6803920064
"512",1985-05-26,252.71168272889
"513",1985-05-27,253.70451482968
"514",1985-05-28,254.658686639146
"515",1985-05-29,255.574002871258
"516",1985-05-30,256.450275547067
"517",1985-05-31,257.28732476467
"518",1985-06-01,258.084979324517
"519",1985-06-02,258.843077222346
"520",1985-06-03,259.561466023729
"521",1985-06-04,260.240003134802
"522",1985-06-05,260.878555983504
"523",1985-06-06,261.477002125023
"524",1985-06-07,262.035229284158
"525",1985-06-08,262.553135346243
"526",1985-06-09,263.030628307141
"527",1985-06-10,263.46762619169
"528",1985-06-11,263.86405694892
"529",1985-06-12,264.219858331345
"530",1985-06-13,264.534977764713
"531",1985-06-14,264.809372213748
"532",1985-06-15,264.729241147088
"533",1985-06-16,264.922174658408
"534",1985-06-17,265.074295595783
"535",1985-06-18,265.186388678
"536",1985-06-19,265.261057914478
"537",1985-06-20,265.293253361752
"538",1985-06-21,265.282995835658
"539",1985-06-22,265.230315467526
"540",1985-06-23,265.135251674156
"541",1985-06-24,264.997853145571
"542",1985-06-25,264.8231253835
"543",1985-06-26,264.608715407669
"544",1985-06-27,264.353828094666
