"year","length"
2006,105.329154692058
2007,89.1769474573616
2008,90.9550471686859
2009,105.185597863478
2010,79.2522321428571
2011,79.5045045045045
2012,82.7328693997337
2013,88.6275640194085
2014,86.9583551833364
2015,73.0647681451613
2016,95.3534365090999
2017,76.5634263340146
2018,78.5962815192084
2019,87.4777688037904
