year;length;SD_a0
2004;10.798664;1.9727218
2005;9.124952;1.4953543
2006;8.445127;1.0887195
2007;8.425272;1.547801
2008;8.534336;1.5783624
2009;8.974906;1.4037771
2010;7.849524;0.9140136
2011;8.475408;1.7887875
2012;8.230346;1.3234451
2013;7.942745;1.4139074
2014;8.843893;1.5579013
2015;8.650813;1.3551295
2016;8.318198;1.2423518
2017;8.54889;1.2237503
2018;7.678003;1.0168308
2019;8.08234;1.5497195
